# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 482

[ECHELLE 01]
  t             = 0.664769
  n_valid       = 482/482
  mean(angle°)  = 0.2233
  std(angle°)   = 0.4228
  valeurs (degrés) :
    p000375    0.0494°
    p000376    0.0493°
    p000377    0.0494°
    p000378    0.0493°
    p000379    0.0493°
    p000380    0.0494°
    p000381    0.0494°
    p000382    0.0494°
    p000383    0.0493°
    p000384    0.0494°
    p000385    0.1248°
    p000386    0.1248°
    p000387    0.1247°
    p000388    0.1247°
    p000389    0.1247°
    p000390    0.1248°
    p000391    0.1248°
    p000392    0.1248°
    p000393    0.1248°
    p000394    0.1248°
    p000395    0.1248°
    p000396    0.1248°
    p000397    0.1247°
    p000398    0.1247°
    p000399    0.1248°
    p000400    0.1247°
    p000401    0.1248°
    p000402    0.1248°
    p000403    0.1247°
    p000404    0.1247°
    p000405    0.1248°
    p000406    0.1247°
    p000407    0.1248°
    p000408    0.1248°
    p000409    0.1248°
    p000410    0.1248°
    p000411    0.1247°
    p000412    0.1248°
    p000413    0.1248°
    p000414    0.1247°
    p000415    0.1247°
    p000416    0.1248°
    p000417    0.1809°
    p000418    0.1809°
    p000419    0.1809°
    p000420    0.1809°
    p000421    0.1808°
    p000422    0.1809°
    p000423    0.1808°
    p000424    0.1809°
    p000425    0.1809°
    p000426    0.1809°
    p000427    0.1809°
    p000428    0.1809°
    p000429    0.1808°
    p000430    0.1809°
    p000431    0.1808°
    p000432    0.1809°
    p000433    0.1809°
    p000434    0.1809°
    p000435    0.1809°
    p000436    0.1809°
    p000437    0.1809°
    p000438    0.1808°
    p000439    0.1809°
    p000440    0.1809°
    p000441    0.1809°
    p000442    0.1809°
    p000443    0.1809°
    p000444    0.1808°
    p000445    0.1809°
    p000446    0.1809°
    p000447    0.1809°
    p000448    0.1808°
    p000449    1.2924°
    p000450    1.2925°
    p000451    1.2924°
    p000452    1.2925°
    p000453    1.2924°
    p000454    1.2925°
    p000455    1.2924°
    p000456    1.2925°
    p000457    1.2925°
    p000458    1.2925°
    p000459    1.2924°
    p000460    1.2925°
    p000461    1.2925°
    p000462    1.2925°
    p000463    1.2924°
    p000464    1.2924°
    p000465    1.2924°
    p000466    1.2925°
    p000467    1.2924°
    p000468    1.2925°
    p000469    1.2925°
    p000470    1.2924°
    p000471    1.2925°
    p000472    1.2925°
    p000473    1.2925°
    p000474    1.2925°
    p000475    1.2924°
    p000476    1.2925°
    p000477    1.2925°
    p000478    1.2924°
    p000479    1.2925°
    p000480    1.2924°
    p000481    0.0000°

[ECHELLE 02]
  t             = 0.783609
  n_valid       = 482/482
  mean(angle°)  = 0.2655
  std(angle°)   = 0.4672
  valeurs (degrés) :
    p000000    0.0000°
    p000001    1.4354°
    p000002    1.4353°
    p000003    1.4353°
    p000004    1.4354°
    p000005    1.4353°
    p000006    1.4353°
    p000007    1.4354°
    p000008    1.4354°
    p000009    1.4354°
    p000010    1.4354°
    p000011    1.4353°
    p000012    1.4354°
    p000013    1.4353°
    p000014    1.4354°
    p000015    1.4354°
    p000016    1.4353°
    p000017    1.4354°
    p000018    1.4354°
    p000019    1.4354°
    p000020    1.4353°
    p000021    1.4354°
    p000022    1.4354°
    p000023    1.4354°
    p000024    1.4354°
    p000025    1.4354°
    p000026    1.4353°
    p000027    1.4354°
    p000028    1.4353°
    p000029    1.4354°
    p000030    1.4353°
    p000031    1.4354°
    p000032    1.4354°
    p000033    0.2974°
    p000034    0.2973°
    p000035    0.2973°
    p000036    0.2974°
    p000037    0.2973°
    p000038    0.2973°
    p000039    0.2974°
    p000040    0.2973°
    p000041    0.2974°
    p000042    0.2973°
    p000043    0.2972°
    p000044    0.2973°
    p000045    0.2974°
    p000046    0.2973°
    p000047    0.2973°
    p000048    0.2974°
    p000049    0.2973°
    p000050    0.2973°
    p000051    0.2973°
    p000052    0.2973°
    p000053    0.2973°
    p000054    0.2973°
    p000055    0.2973°
    p000056    0.2974°
    p000057    0.2973°
    p000058    0.2973°
    p000059    0.2974°
    p000060    0.2973°
    p000061    0.2973°
    p000062    0.2974°
    p000063    0.2973°
    p000064    0.2974°
    p000065    0.1373°
    p000066    0.1373°
    p000067    0.1373°
    p000068    0.1373°
    p000069    0.1373°
    p000070    0.1372°
    p000071    0.1373°
    p000072    0.1373°
    p000073    0.1373°
    p000074    0.1372°
    p000075    0.1372°
    p000076    0.1373°
