# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 20480

[ECHELLE 01]
  t             = 0.011503
  n_valid       = 13631/20480
  mean(angle°)  = 38.0803
  std(angle°)   = 40.6807
  valeurs (degrés) :
    p000552   11.3721°
    p000553   90.0000°
    p000554   90.0000°
    p000555    4.3573°
    p000556   10.6316°
    p000557   12.6465°
    p000558   90.0000°
    p000559   90.0000°
    p000560   13.5770°
    p000561    9.9109°
    p000562    5.5045°
    p000563   90.0000°
    p000564   90.0000°
    p000565   10.1010°
    p000566    2.2593°
    p000567   19.8536°
    p000568   90.0000°
    p000569   90.0000°
    p000570   12.2895°
    p000571   11.6989°
    p000572    7.3838°
    p000573   90.0000°
    p000574   90.0000°
    p000575    6.9307°
    p000576    5.6351°
    p000577   20.1761°
    p000578   90.0000°
    p000579   90.0000°
    p000580   11.4896°
    p000581    7.2111°
    p000582    2.2861°
    p000583   90.0000°
    p000584   90.0000°
    p000585    8.1143°
    p000586    4.8814°
    p000587   14.1932°
    p000588   90.0000°
    p000589  NaN
    p000590    9.0361°
    p000591    8.8377°
    p000592    6.1087°
    p000593   90.0000°
    p000594   90.0000°
    p000595    5.9601°
    p000596    7.3098°
    p000597   14.6088°
    p000598   90.0000°
    p000599  NaN
    p000600   21.4724°
    p000601    9.5138°
    p000602    7.3310°
    p000603   90.0000°
    p000604   90.0000°
    p000605   18.0597°
    p000606    4.0973°
    p000607   18.3920°
    p000608   90.0000°
    p000609   90.0000°
    p000610    7.0085°
    p000611   12.6448°
    p000612   11.0814°
    p000613   90.0000°
    p000614   90.0000°
    p000615    3.5395°
    p000616    9.6134°
    p000617   17.2787°
    p000618   90.0000°
    p000619   90.0000°
    p000620   17.6448°
    p000621    8.1955°
    p000622    3.6099°
    p000623   90.0000°
    p000624   90.0000°
    p000625   14.4690°
    p000626    5.5945°
    p000627   12.9469°
    p000628   90.0000°
    p000629  NaN
    p000630    6.4126°
    p000631   12.7930°
    p000632    8.4695°
    p000633   90.0000°
    p000634   90.0000°
    p000635    5.1523°
    p000636   10.0277°
    p000637   12.7082°
    p000638   90.0000°
    p000639   90.0000°
    p000640   31.8069°
    p000641    5.1668°
    p000642  NaN
    p000643  NaN
    p000644   90.0000°
    p000645   32.4390°
    p000646    5.7738°
    p000647    8.8190°
    p000648   90.0000°
    p000649   90.0000°
    p000650    5.2848°
