# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t             = 0.880130
  n_valid       = 39314/40062
  mean(angle°)  = 19.2408
  std(angle°)   = 26.2157
  valeurs (degrés) :
    p000948    5.2319°
    p000949   10.3030°
    p000950    8.5846°
    p000951    6.5337°
    p000952    7.1664°
    p000953    3.3224°
    p000954   10.2555°
    p000955    3.1102°
    p000956    4.7402°
    p000957    3.3352°
    p000958    2.6343°
    p000959    5.9757°
    p000960    3.8964°
    p000961    1.8780°
    p000962    1.1578°
    p000963    7.6589°
    p000964    4.9320°
    p000965    5.2381°
    p000966    2.9607°
    p000967    3.0618°
    p000968    2.3931°
    p000969    1.7870°
    p000970    0.9934°
    p000971    1.9805°
    p000972    1.4186°
    p000973    7.7131°
    p000974   16.2783°
    p000975   16.5517°
    p000976    6.9273°
    p000977   17.9824°
    p000978   20.6362°
    p000979   23.3494°
    p000980   15.5788°
    p000981    5.5895°
    p000982   11.5764°
    p000983   13.8708°
    p000984   18.7497°
    p000985   19.4580°
    p000986   21.2198°
    p000987   10.2383°
    p000988    2.8478°
    p000989    7.2094°
    p000990    1.4531°
    p000991   10.0698°
    p000992   10.9942°
    p000993    8.5238°
    p000994    2.9851°
    p000995    9.7793°
    p000996    9.8945°
    p000997   10.0227°
    p000998   13.8608°
    p000999   12.6665°
    p001000    6.6275°
    p001001    2.1050°
    p001002    2.2357°
    p001003    1.9054°
    p001004    2.0014°
    p001005    2.6263°
    p001006    2.5255°
    p001007    1.2608°
    p001008    1.6260°
    p001009    2.8317°
    p001010    2.1594°
    p001011    2.2822°
    p001012    1.2234°
    p001013    2.6446°
    p001014    2.7296°
    p001015    1.6697°
    p001016    1.7968°
    p001017    0.7898°
    p001018    0.8152°
    p001019    0.5860°
    p001020    0.1137°
    p001021    0.3737°
    p001022    0.4562°
    p001023    2.1082°
    p001024    1.3667°
    p001025    2.2639°
    p001026    0.5620°
    p001027    0.4107°
    p001028    1.5976°
    p001029    1.0267°
    p001030    0.5015°
    p001031    2.0164°
    p001032    1.6606°
    p001033    1.2123°
    p001034    0.9030°
    p001035    4.0007°
    p001036    2.6500°
    p001037    2.7320°
    p001038    1.9088°
    p001039    3.3865°
    p001040    0.9401°
    p001041    1.2835°
    p001042    1.3613°
    p001043    2.0497°
    p001044    0.8986°
    p001045    1.2966°
    p001046    1.3547°
    p001047    1.5944°
    p001048    0.2337°
    p001049    1.7087°
    p001050    2.2393°
    p001051    1.4080°
    p001052    0.9536°
    p001053    0.9215°
    p001054    2.5638°
    p001055    3.1732°
    p001056    3.1534°
    p001057    3.6246°
    p001058    2.9180°
    p001059    2.5285°
    p001060    2.5957°
    p001061    1.3735°
    p001062    3.3061°
    p001063    2.8997°
    p001064    3.4727°
    p001065    0.7611°
    p001066    0.8554°
    p001067    0.4769°
    p001068    0.9461°
    p001069    0.1805°
    p001070    1.1037°
    p001071    1.5958°
    p001072    1.3192°
    p001073    1.1343°
    p001074    1.7413°
    p001075    1.3233°
    p001076    1.1325°
    p001077    1.2921°
    p001078    0.8603°
    p001079    2.6580°
    p001080    2.7732°
    p001081    2.2358°
    p001082    3.3505°
    p001083    3.9471°
    p001084    1.9947°
