# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 12
n_points  = 223

[ECHELLE 01]
  t             = 0.416626
  n_valid       = 223/223
  mean(angle°)  = 7.6310
  std(angle°)   = 4.6787
  valeurs (degrés) :
    p000210    4.1057°
    p000211    5.7115°
    p000212    7.3382°
    p000213    8.4340°
    p000214    6.9690°
    p000215   11.2356°
    p000216   11.0198°
    p000217   11.0156°
    p000218    9.2794°
    p000219   10.5717°
    p000220    4.2778°
    p000221    5.5991°
    p000222   12.5564°

[ECHELLE 03]
  t             = 0.508740
  n_valid       = 223/223
  mean(angle°)  = 9.1587
  std(angle°)   = 6.5259
  valeurs (degrés) :
    p000000    9.8019°
    p000001    5.8368°
    p000002   14.5276°
    p000003    8.3645°
    p000004   14.5438°
    p000005   11.5401°
    p000006   17.7548°
    p000007    2.1064°
    p000008   19.1639°
    p000009    6.0646°
    p000010   10.1946°
    p000011    8.6060°
    p000012    8.7450°
    p000013    4.5564°
    p000014    4.0012°
    p000015    6.6637°
    p000016    3.1463°
    p000017   11.6188°
    p000018    4.8870°
    p000019    8.0766°
    p000020   21.5632°
    p000021    2.9230°
    p000022    5.1086°
    p000023    5.1561°
    p000024   12.6516°
    p000025    5.1709°
    p000026    1.2826°
    p000027    1.1237°
    p000028   20.5226°
    p000029   12.8971°
    p000030    7.0277°
    p000031    2.5449°
    p000032   13.5379°
    p000033   10.2998°
    p000034    9.7116°
    p000035    7.9642°
    p000036   10.5413°
    p000037    9.3839°
    p000038    1.2979°
    p000039    1.9851°
    p000040    2.4533°
    p000041    3.1758°
    p000042   10.8245°
    p000043   18.4511°
    p000044    5.8742°
    p000045    4.8154°
    p000046    8.1508°
    p000047    3.3794°
    p000048    4.8716°
    p000049   11.2249°
    p000050   20.1155°
    p000051    5.3795°
    p000052   32.7653°
    p000053   17.2603°
