# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 12
n_points  = 17378

[ECHELLE 01]
  t             = 0.251312
  n_valid       = 16890/17378
  mean(angle°)  = 20.6075
  std(angle°)   = 13.2625
  valeurs (degrés) :
    p000419   19.8068°
    p000420    0.3760°
    p000421    0.1747°
    p000422   21.8929°
    p000423   20.7569°
    p000424   23.2020°
    p000425   11.2469°
    p000426    2.9503°
    p000427    8.4825°
    p000428    0.9845°
    p000429    1.5546°
    p000430    1.7616°
    p000431   16.9270°
    p000432    6.2769°
    p000433   26.3580°
    p000434   35.8352°
    p000435    0.2098°
    p000436   27.0399°
    p000437   42.0697°
    p000438   42.2782°
    p000439   46.9132°
    p000440    2.7725°
    p000441   23.4419°
    p000442    1.3660°
    p000443   21.0333°
    p000444   25.5657°
    p000445   29.2775°
    p000446   19.7604°
    p000447    3.6319°
    p000448    3.5380°
    p000449   25.1410°
    p000450   27.3786°
    p000451   19.7484°
    p000452    7.8830°
    p000453    0.5614°
    p000454    7.8232°
    p000455    0.5713°
    p000456    1.7910°
    p000457    3.0849°
    p000458    0.4174°
    p000459   27.6683°
    p000460    0.2791°
    p000461   27.8032°
    p000462   43.0285°
    p000463   44.8558°
    p000464    1.2118°
    p000465   20.5104°
    p000466    1.1154°
    p000467   20.3022°
    p000468   24.8023°
    p000469   27.5040°
    p000470   19.7959°
    p000471    0.3816°
    p000472    0.1867°
    p000473   21.8771°
    p000474   20.7426°
    p000475   23.1730°
    p000476    7.7449°
    p000477    0.4555°
    p000478    7.8171°
    p000479    0.5577°
    p000480    1.8362°
    p000481    3.1612°
    p000482    0.4100°
    p000483   27.7793°
    p000484    0.2521°
    p000485   27.6433°
    p000486   42.9622°
    p000487   44.9596°
    p000488    1.1189°
    p000489   20.2779°
    p000490    1.1123°
    p000491   20.2863°
    p000492   24.8012°
    p000493   27.2768°
    p000494   19.7999°
    p000495    3.5861°
    p000496    3.5907°
    p000497   25.1257°
    p000498   27.4406°
    p000499   19.7615°
    p000500    7.8808°
    p000501    0.5118°
    p000502    8.3394°
    p000503    0.8540°
    p000504    1.6603°
    p000505    3.1596°
    p000506    0.3587°
    p000507   27.4171°
    p000508    0.5258°
    p000509   26.8262°
    p000510   42.1739°
    p000511   44.5783°
    p000512    1.1813°
    p000513   20.4632°
    p000514    1.4005°
    p000515   21.2316°
    p000516   25.9883°
    p000517   27.5059°
    p000518   19.8131°
    p000519    0.4240°
    p000520    0.1753°
    p000521   21.9729°
    p000522   20.7708°
    p000523   23.1944°
    p000524   10.8263°
    p000525    2.7378°
    p000526    9.0585°
    p000527    3.7349°
    p000528    2.6109°
    p000529    1.8871°
    p000530   10.3488°
    p000531   27.3004°
    p000532   30.9893°
    p000533   38.9874°
    p000534   48.2612°
    p000535   42.6641°
    p000536    3.0306°
    p000537   23.8459°
    p000538    4.3321°
    p000539   21.5791°
    p000540   22.5995°
    p000541   29.5772°
    p000542   19.7607°
    p000543    3.5544°
    p000544    3.5927°
    p000545   25.0930°
    p000546   27.4122°
    p000547   19.6988°
    p000548    5.2220°
    p000549    7.6452°
    p000550    6.5713°
    p000551    9.0428°
    p000552    8.4819°
    p000553    8.3591°
    p000554    8.0826°
    p000555   16.7136°
    p000556   24.0910°
    p000557   20.6631°
    p000558    7.2788°
    p000559   18.3677°
    p000560   26.3029°
    p000561   32.7311°
    p000562   30.5262°
    p000563   30.6209°
    p000564   21.6387°
    p000565   15.3103°
    p000566   16.5820°
    p000567    4.0976°
    p000568    0.6272°
    p000569   19.7623°
    p000570    0.3763°
    p000571    0.1774°
    p000572   21.8393°
    p000573   20.7699°
    p000574   23.2084°
    p000575    6.8850°
    p000576    9.6910°
    p000577    6.9487°
    p000578    9.7879°
    p000579    9.4568°
    p000580   10.4161°
    p000581    0.6741°
    p000582   17.1805°
    p000583    0.3783°
    p000584   17.8404°
    p000585   27.0778°
    p000586   28.3490°
    p000587    4.8689°
    p000588    4.8718°
    p000589    0.1541°
    p000590    0.1798°
    p000591    5.0908°
    p000592    0.1204°
    p000593    0.5816°
    p000594    0.6455°
    p000595   19.7445°
    p000596    3.5368°
    p000597    3.6271°
    p000598   25.1067°
    p000599   27.4658°
    p000600   19.7264°
    p000601    6.9220°
    p000602    9.7837°
    p000603    6.8974°
    p000604    9.7730°
    p000605    9.4883°
    p000606   10.5788°
    p000607    0.5050°
    p000608   17.8298°
    p000609    0.4114°
    p000610   17.7679°
    p000611   27.2186°
    p000612   29.1669°
    p000613    4.9136°
    p000614    0.1764°
    p000615    5.0368°
    p000616    0.1719°
    p000617    0.6673°
    p000618    0.6230°
    p000619   19.7405°
    p000620    0.4223°
    p000621    0.1192°
    p000622   21.9363°
    p000623   20.7636°
    p000624   23.1875°
    p000625    6.8597°
    p000626    9.7697°
    p000627    6.8335°
    p000628    9.7642°
    p000629    9.4908°
    p000630   10.6022°
    p000631    0.5453°
    p000632   17.6884°
    p000633    0.4466°
    p000634   17.5894°
    p000635   27.2164°
    p000636   29.1429°
    p000637    4.8642°
    p000638    0.2306°
    p000639    4.9797°
    p000640    0.2277°
    p000641    0.7580°
    p000642    0.7123°
    p000643   19.6030°
    p000644    3.5216°
    p000645    3.5962°
    p000646   24.9851°
    p000647   27.3940°
    p000648   19.6313°
    p000649    6.7986°
    p000650    9.7575°
    p000651    6.7802°
    p000652    9.7609°
    p000653    9.5191°
    p000654   10.6158°
    p000655    0.5665°
    p000656   17.5290°
    p000657    0.4711°
    p000658   17.4612°
    p000659   27.1714°
    p000660   29.1152°
    p000661    4.7977°
    p000662    0.2861°
    p000663    4.9024°
    p000664    0.2814°
    p000665    0.8464°
    p000666    0.8029°
    p000667   19.6726°
    p000668    0.3807°
    p000669    0.1725°
    p000670   21.7773°
    p000671   20.8114°
    p000672   23.2153°
    p000673    6.7556°
    p000674    9.7564°
    p000675    6.7312°
    p000676    9.7432°
    p000677    9.5402°
    p000678   10.6361°
    p000679    0.5834°
    p000680   17.3717°
    p000681    0.5001°
    p000682   17.3299°
    p000683   27.1762°
    p000684   29.0805°
    p000685    4.7385°
    p000686    0.3376°
    p000687    4.8540°
    p000688    0.3290°
    p000689    0.9211°
    p000690    0.8861°
    p000691   19.3215°
    p000692    3.5258°
    p000693    3.5734°
    p000694   25.0200°
    p000695   27.0631°
    p000696   19.5589°
    p000697    6.7051°
    p000698    9.7449°
    p000699    6.6970°
    p000700    9.7354°
    p000701    9.5511°
    p000702   10.6627°
    p000703    0.6092°
    p000704   17.2875°
    p000705    0.5243°
    p000706   17.2606°
    p000707   27.1351°
    p000708   29.0944°
    p000709    4.6914°
    p000710    0.3786°
    p000711    4.8164°
    p000712    0.3617°
    p000713    0.9725°
    p000714    0.9503°
    p000715   19.7403°
    p000716    0.3809°
    p000717    0.1896°
    p000718   21.8569°
    p000719   20.8390°
    p000720   23.1736°
    p000721    6.6818°
    p000722    9.7417°
    p000723    6.6843°
    p000724    9.7384°
    p000725    9.5531°
    p000726   10.6691°
    p000727    0.6284°
    p000728   17.2258°
    p000729    0.5297°
    p000730   17.2243°
    p000731   27.1294°
    p000732   29.0615°
    p000733    4.6589°
    p000734    0.4014°
    p000735    4.8001°
    p000736    0.3728°
    p000737    0.9910°
    p000738    0.9864°
    p000739   19.2653°
    p000740    3.4478°
    p000741    3.5946°
    p000742   25.1901°
    p000743   26.1668°
    p000744   19.2894°
    p000745    6.6793°
    p000746    9.7389°
    p000747    6.6962°
    p000748    9.7344°
    p000749    9.5493°
    p000750   10.6625°
    p000751    0.6180°
    p000752   17.2276°
    p000753    0.5185°
    p000754   17.2617°
    p000755   27.1162°
    p000756   29.0469°
    p000757    4.6596°
    p000758    0.4015°
    p000759    4.8163°
    p000760    0.3617°
    p000761    0.9725°
    p000762    0.9864°
    p000763   19.9775°
    p000764    0.3950°
    p000765    0.1799°
    p000766   22.1244°
    p000767   20.6364°
    p000768   23.1211°
    p000769    6.7052°
    p000770    9.7447°
    p000771    6.7325°
    p000772    9.7459°
    p000773    9.5469°
    p000774   10.6626°
    p000775    0.6055°
    p000776   17.2861°
    p000777    0.4987°
    p000778   17.3267°
    p000779   27.1889°
    p000780   29.0738°
    p000781    4.6914°
    p000782    0.3785°
    p000783    4.8545°
    p000784    0.3290°
    p000785    0.9211°
    p000786    0.9503°
    p000787   19.9797°
    p000788    3.4675°
    p000789    3.6722°
    p000790   25.5922°
    p000791   26.6060°
    p000792   19.3801°
    p000793    6.7619°
    p000794    9.7635°
    p000795    6.7821°
    p000796    9.7639°
    p000797    9.5204°
    p000798   10.6501°
    p000799    0.5864°
    p000800   17.3701°
    p000801    0.4767°
    p000802   17.4581°
    p000803   27.1641°
    p000804   29.0984°
    p000805    4.7406°
    p000806    0.3373°
    p000807    4.9034°
    p000808    0.2814°
    p000809    0.8464°
    p000810    0.8858°
    p000811   19.8706°
    p000812    0.3961°
    p000813    0.1763°
    p000814   22.0077°
    p000815   20.6699°
    p000816   23.1170°
    p000817    6.8010°
    p000818    9.7601°
    p000819    6.8344°
    p000820    9.7630°
    p000821    9.4936°
    p000822   10.6185°
    p000823    0.5712°
    p000824   17.5245°
    p000825    0.4405°
    p000826   17.5896°
    p000827   27.2148°
    p000828   29.1264°
    p000829    4.7977°
    p000830    0.2863°
    p000831    4.9803°
    p000832    0.2276°
    p000833    0.7580°
    p000834    0.8030°
    p000835   20.0809°
    p000836    3.4942°
    p000837    3.6411°
    p000838   25.6809°
    p000839   26.8273°
    p000840   19.4455°
    p000841    6.8556°
    p000842    9.7640°
    p000843    6.8959°
    p000844    9.7714°
    p000845    9.4877°
    p000846   10.5927°
    p000847    0.5342°
    p000848   17.6820°
    p000849    0.3972°
    p000850   17.7595°
    p000851   27.2447°
    p000852   29.1459°
    p000853    4.8657°
    p000854    0.2305°
    p000855    5.0377°
    p000856    0.1721°
    p000857    0.6673°
    p000858    0.7125°
    p000859   19.8665°
    p000860    0.3810°
    p000861    0.1813°
    p000862   22.0485°
    p000863   20.6394°
    p000864   23.0436°
    p000865    6.9204°
    p000866    9.7808°
    p000867    6.9458°
    p000868    9.7851°
    p000869    9.4533°
    p000870   10.5801°
    p000871    0.4962°
    p000872   17.8248°
    p000873    0.3753°
    p000874   17.9490°
    p000875   27.2644°
    p000876   29.1576°
    p000877    4.9132°
    p000878    0.1761°
    p000879    5.0909°
    p000880    0.1200°
    p000881    0.5805°
    p000882    0.6231°
    p000883   20.1050°
    p000884    3.4328°
    p000885    3.7132°
    p000886   25.7269°
    p000887   26.9510°
    p000888   19.4709°
    p000889    6.9741°
    p000890    9.7952°
    p000891    7.0033°
    p000892    9.8040°
    p000893    9.4518°
    p000894   10.5589°
    p000895    0.4935°
    p000896   18.0086°
    p000897    0.3535°
    p000898   18.0830°
    p000899   27.3106°
    p000900   29.2136°
    p000901    4.9767°
    p000902    0.1269°
    p000903    5.1483°
    p000904    0.0738°
    p000905    0.5010°
    p000906    0.5399°
    p000907   19.8599°
    p000908    0.3760°
    p000909    0.1733°
    p000910   21.9951°
    p000911   20.6968°
    p000912   23.1250°
    p000913    7.0216°
    p000914    9.8098°
    p000915    7.0416°
    p000916    9.8014°
    p000917    9.4202°
    p000918   10.5415°
    p000919    0.4787°
    p000920   18.1733°
    p000921    0.3392°
    p000922   18.2440°
    p000923   27.3371°
    p000924   29.2469°
    p000925    5.0319°
    p000926    0.0833°
    p000927    5.1970°
    p000928    0.0325°
    p000929    0.4306°
    p000930    0.4647°
    p000931   20.1128°
    p000932    3.4255°
    p000933    3.7390°
    p000934   25.7263°
    p000935   26.9866°
    p000936   19.5005°
    p000937    7.0560°
    p000938    9.8071°
    p000939    7.0711°
    p000940    9.8119°
    p000941    9.4040°
    p000942   10.5297°
    p000943    0.4676°
    p000944   18.3218°
    p000945    0.3323°
    p000946   18.3933°
    p000947   27.3823°
    p000948   29.2631°
    p000949    5.0677°
    p000950    0.0454°
    p000951    5.2376°
    p000952    0.0046°
    p000953    0.3695°
    p000954    0.3990°
    p000955   19.8417°
    p000956    0.3932°
    p000957    0.1665°
    p000958   21.9697°
    p000959   20.6996°
    p000960   23.1306°
    p000961    7.0861°
    p000962    9.8025°
    p000963    7.1010°
    p000964    9.8047°
    p000965    9.3946°
    p000966   10.4986°
    p000967    0.4681°
    p000968   18.4685°
    p000969    0.3276°
    p000970   18.5202°
    p000971   27.4100°
    p000972   29.3191°
    p000973    5.1088°
    p000974    0.0130°
    p000975    5.2725°
    p000976    0.0327°
    p000977    0.3170°
    p000978    0.3422°
    p000979   20.1113°
    p000980    3.4312°
    p000981    3.7279°
    p000982   25.7555°
    p000983   26.9860°
    p000984   19.4976°
    p000985    7.1225°
    p000986    9.8177°
    p000987    7.1292°
    p000988    9.8238°
    p000989    9.3839°
    p000990   10.5064°
    p000991    0.4659°
    p000992   18.5816°
    p000993    0.3251°
    p000994   18.6404°
    p000995   27.4374°
    p000996   29.3278°
    p000997    5.1388°
    p000998    0.0151°
    p000999    5.2993°
    p001000    0.0578°
    p001001    0.2722°
    p001002    0.2938°
    p001003   19.8952°
    p001004    0.3952°
    p001005    0.2205°
    p001006   22.0265°
    p001007   20.7148°
    p001008   23.1184°
    p001009    7.1412°
    p001010    9.8220°
    p001011    7.1564°
    p001012    9.8207°
    p001013    9.3789°
    p001014   10.4922°
    p001015    0.4660°
    p001016   18.6874°
    p001017    0.3277°
    p001018   18.7359°
    p001019   27.4292°
    p001020   29.3526°
    p001021    5.1623°
    p001022    0.0382°
    p001023    5.3215°
    p001024    0.0796°
    p001025    0.2339°
    p001026    0.2523°
    p001027   20.1185°
    p001028    3.3844°
    p001029    3.7891°
    p001030   25.7344°
    p001031   26.9962°
    p001032   19.5267°
