# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 10000

[ECHELLE 01]
  t             = 0.171968
  n_valid       = 10000/10000
  mean(angle°)  = 78.4819
  std(angle°)   = 43.5742
  valeurs (degrés) :
    p000420   29.7437°
    p000421  168.8527°
    p000422   30.6949°
    p000423   90.0000°
    p000424   90.0000°
    p000425   90.0000°
    p000426   90.0000°
    p000427   90.0000°
    p000428   90.0000°
    p000429   90.0000°
    p000430   90.0000°
    p000431   90.0000°
    p000432  171.2386°
    p000433   43.0974°
    p000434  166.5640°
    p000435   10.2037°
    p000436  106.5440°
    p000437  108.5189°
    p000438    5.1679°
    p000439   85.2582°
    p000440   19.3396°
    p000441   33.7876°
    p000442   48.5711°
    p000443   54.9331°
    p000444   33.4602°
    p000445   90.0000°
    p000446   90.0000°
    p000447   90.0000°
    p000448   90.0000°
    p000449   90.0000°
    p000450   90.0000°
    p000451   90.0000°
    p000452   90.0000°
    p000453   90.0000°
    p000454   24.4461°
    p000455   21.5687°
    p000456  146.0162°
    p000457  100.0358°
    p000458   13.1322°
    p000459  152.7283°
    p000460   34.0743°
    p000461  119.5022°
    p000462  117.3940°
    p000463   12.3470°
    p000464   25.2668°
    p000465   21.1135°
    p000466  130.8071°
    p000467   19.7795°
    p000468  168.9432°
    p000469   16.7939°
    p000470  141.9738°
    p000471  163.8134°
    p000472  172.0242°
    p000473   14.5430°
    p000474   25.1852°
    p000475  148.5554°
    p000476   23.7896°
    p000477   59.5277°
    p000478  140.5394°
    p000479   16.1857°
    p000480   90.0000°
    p000481   90.0000°
    p000482   90.0000°
    p000483   90.0000°
    p000484   90.0000°
    p000485   90.0000°
    p000486   90.0000°
    p000487   90.0000°
    p000488   90.0000°
    p000489   90.0000°
    p000490  175.7111°
    p000491   87.5316°
    p000492    6.8873°
    p000493   22.2524°
    p000494   17.4456°
